size,cycles,type,dpu
1024,265424,enc,8
1024,264704,dec,8
1024,265424,enc,9
1024,264640,dec,9
1024,265424,enc,10
1024,264784,dec,10
1024,265360,enc,11
1024,264688,dec,11
1024,265424,enc,12
1024,264640,dec,12
1024,265424,enc,13
1024,264640,dec,13
1024,265424,enc,14
1024,264640,dec,14
1024,265424,enc,15
1024,264704,dec,15
1024,265424,enc,16
1024,264640,dec,16
1024,265424,enc,17
1024,264784,dec,17
1024,265424,enc,18
1024,264640,dec,18
1024,265424,enc,19
1024,264640,dec,19
1024,265424,enc,20
1024,264640,dec,20
1024,265424,enc,21
1024,264704,dec,21
1024,265424,enc,22
1024,264640,dec,22
1024,265424,enc,23
1024,264704,dec,23
1024,265424,enc,24
1024,264640,dec,24
1024,265424,enc,25
1024,264720,dec,25
1024,265440,enc,26
1024,264784,dec,26
1024,265424,enc,27
1024,264720,dec,27
1024,265424,enc,28
1024,264640,dec,28
1024,265424,enc,29
1024,264720,dec,29
1024,265424,enc,30
1024,264720,dec,30
1024,265424,enc,31
1024,264640,dec,31
1024,265424,enc,32
1024,264640,dec,32
1024,265360,enc,33
1024,264688,dec,33
1024,265424,enc,34
1024,264640,dec,34
1024,265424,enc,35
1024,264640,dec,35
1024,265424,enc,36
1024,264720,dec,36
1024,265424,enc,37
1024,264720,dec,37
1024,265424,enc,38
1024,264640,dec,38
1024,265424,enc,39
1024,264784,dec,39
1024,265424,enc,40
1024,264720,dec,40
1024,265424,enc,41
1024,264704,dec,41
1024,265424,enc,42
1024,264640,dec,42
1024,265424,enc,43
1024,264704,dec,43
1024,265376,enc,44
1024,264688,dec,44
1024,265424,enc,45
1024,264720,dec,45
1024,265424,enc,46
1024,264640,dec,46
1024,265424,enc,47
1024,264720,dec,47
1024,265440,enc,48
1024,264784,dec,48
1024,265424,enc,49
1024,264720,dec,49
1024,265424,enc,50
1024,264704,dec,50
1024,265424,enc,51
1024,264640,dec,51
1024,265424,enc,52
1024,264720,dec,52
1024,265424,enc,53
1024,264640,dec,53
1024,265424,enc,54
1024,264720,dec,54
1024,265424,enc,55
1024,264640,dec,55
1024,265424,enc,56
1024,264720,dec,56
1024,265424,enc,57
1024,264640,dec,57
1024,265424,enc,58
1024,264720,dec,58
1024,265424,enc,59
1024,264640,dec,59
1024,265424,enc,60
1024,264784,dec,60
1024,265424,enc,61
1024,264720,dec,61
1024,265424,enc,62
1024,264640,dec,62
1024,265424,enc,63
1024,264720,dec,63
2048,529360,enc,0
2048,528736,dec,0
2048,529328,enc,1
2048,528784,dec,1
2048,529360,enc,2
2048,528736,dec,2
2048,529360,enc,3
2048,528736,dec,3
2048,529440,enc,4
