size,cycles,type,dpu
2048,67280,dec,50
2048,63472,enc,51
2048,69536,dec,51
2048,63040,enc,52
2048,67408,dec,52
2048,62464,enc,53
2048,67776,dec,53
2048,63840,enc,54
2048,67632,dec,54
2048,63152,enc,55
2048,68160,dec,55
2048,63488,enc,56
2048,69744,dec,56
2048,62304,enc,57
2048,69712,dec,57
2048,62848,enc,58
2048,69824,dec,58
2048,63440,enc,59
2048,69872,dec,59
2048,62816,enc,60
2048,69024,dec,60
2048,62784,enc,61
2048,67920,dec,61
2048,61904,enc,62
2048,68320,dec,62
2048,64128,enc,63
2048,69120,dec,63
4096,110464,enc,0
4096,116448,dec,0
4096,110352,enc,1
4096,116848,dec,1
4096,110768,enc,2
4096,116384,dec,2
4096,110128,enc,3
4096,116512,dec,3
4096,110160,enc,4
4096,117952,dec,4
4096,110032,enc,5
4096,115136,dec,5
4096,110032,enc,6
4096,118304,dec,6
4096,110336,enc,7
4096,117520,dec,7
4096,110288,enc,8
4096,117856,dec,8
4096,110240,enc,9
4096,117840,dec,9
4096,111648,enc,10
4096,115888,dec,10
4096,110416,enc,11
4096,116768,dec,11
4096,110096,enc,12
4096,117168,dec,12
4096,110480,enc,13
4096,117280,dec,13
4096,109840,enc,14
4096,117184,dec,14
4096,110352,enc,15
4096,117216,dec,15
4096,110880,enc,16
4096,115152,dec,16
4096,110224,enc,17
4096,117088,dec,17
4096,111360,enc,18
4096,116512,dec,18
4096,110336,enc,19
4096,117792,dec,19
4096,110528,enc,20
4096,116928,dec,20
4096,111360,enc,21
4096,115328,dec,21
4096,110480,enc,22
4096,117664,dec,22
4096,111424,enc,23
4096,116496,dec,23
4096,110368,enc,24
4096,117648,dec,24
4096,110416,enc,25
4096,116848,dec,25
4096,110416,enc,26
4096,117056,dec,26
4096,110016,enc,27
4096,116976,dec,27
4096,110288,enc,28
4096,116976,dec,28
4096,109920,enc,29
4096,118064,dec,29
4096,110656,enc,30
4096,118224,dec,30
4096,111376,enc,31
4096,118048,dec,31
4096,110480,enc,32
4096,115728,dec,32
4096,110832,enc,33
4096,117024,dec,33
4096,110784,enc,34
4096,117776,dec,34
4096,110592,enc,35
4096,116576,dec,35
4096,111088,enc,36
4096,116544,dec,36
4096,110304,enc,37
4096,117808,dec,37
4096,109680,enc,38
4096,116272,dec,38
4096,110064,enc,39
4096,117728,dec,39
4096,110208,enc,40
4096,116352,dec,40
4096,110400,enc,41
4096,118320,dec,41
4096,110032,enc,42
4096,117776,dec,42
4096,109728,enc,43
4096,114976,dec,43
4096,110208,enc,44
4096,115824,dec,44
4096,110208,enc,45
4096,116224,dec,45
4096,110912,enc,46
4096,117552,dec,46
4096,109552,enc,47
4096,117584,dec,47
4096,111072,enc,48
4096,117552,dec,48
4096,110176,enc,49
4096,115856,dec,49
4096,111680,enc,50
4096,118048,dec,50
4096,109888,enc,51
4096,115232,dec,51
4096,110992,enc,52
4096,118000,dec,52
4096,109600,enc,53
4096,116944,dec,53
4096,110608,enc,54
4096,116960,dec,54
4096,110256,enc,55
4096,116688,dec,55
4096,111360,enc,56
4096,114864,dec,56
4096,110672,enc,57
4096,118208,dec,57
4096,110304,enc,58
4096,118096,dec,58
4096,110544,enc,59
4096,116720,dec,59
4096,110528,enc,60
4096,116384,dec,60
4096,110272,enc,61
4096,116352,dec,61
4096,111056,enc,62
4096,115728,dec,62
4096,110544,enc,63
4096,118080,dec,63
8192,205584,enc,0
8192,210592,dec,0
8192,205760,enc,1
8192,212880,dec,1
8192,205072,enc,2
8192,211152,dec,2
8192,205248,enc,3
8192,213024,dec,3
8192,205504,enc,4
8192,211456,dec,4
8192,205856,enc,5
8192,211888,dec,5
8192,206000,enc,6
8192,213296,dec,6
8192,205456,enc,7
8192,210768,dec,7
8192,205760,enc,8
8192,210704,dec,8
8192,205024,enc,9
8192,210768,dec,9
8192,204800,enc,10
8192,212032,dec,10
8192,205296,enc,11
8192,213120,dec,11
8192,205584,enc,12
8192,211856,dec,12
8192,205024,enc,13
8192,210144,dec,13
8192,205008,enc,14
8192,210496,dec,14
8192,205616,enc,15
8192,212624,dec,15
8192,205536,enc,16
8192,213152,dec,16
8192,205520,enc,17
8192,212640,dec,17
8192,205312,enc,18
8192,210672,dec,18
8192,206736,enc,19
8192,211168,dec,19
8192,205360,enc,20
8192,213008,dec,20
8192,205504,enc,21
8192,212352,dec,21
8192,205984,enc,22
