size,cycles,type,dpu
2048,5175200,dec,45
2048,5004928,enc,46
2048,5005184,dec,46
2048,5387552,enc,47
2048,5387952,dec,47
2048,5072016,enc,48
2048,5072304,dec,48
2048,5132112,enc,49
2048,5132448,dec,49
2048,5111280,enc,50
2048,5111632,dec,50
2048,5111264,enc,51
2048,5111664,dec,51
2048,5175008,enc,52
2048,5175168,dec,52
2048,5239504,enc,53
2048,5239792,dec,53
2048,5324384,enc,54
2048,5324864,dec,54
2048,5047328,enc,55
2048,5047632,dec,55
2048,5282016,enc,56
2048,5282400,dec,56
2048,5004752,enc,57
2048,5005168,dec,57
2048,4962320,enc,58
2048,4962608,dec,58
2048,4983648,enc,59
2048,4983984,dec,59
2048,5132144,enc,60
2048,5132448,dec,60
2048,4919280,enc,61
2048,4919584,dec,61
2048,5409168,enc,62
2048,5409488,dec,62
2048,5239504,enc,63
2048,5239744,dec,63
4096,10257648,enc,0
4096,10258016,dec,0
4096,10562416,enc,1
4096,10563600,dec,1
4096,10172768,enc,2
4096,10173024,dec,2
4096,10214208,enc,3
4096,10214672,dec,3
4096,10597680,enc,4
4096,10597824,dec,4
4096,9859312,enc,5
4096,9860432,dec,5
4096,10428240,enc,6
4096,10428384,dec,6
4096,10472768,enc,7
4096,10472816,dec,7
4096,10299792,enc,8
4096,10299904,dec,8
4096,10257792,enc,9
4096,10257840,dec,9
4096,10680560,enc,10
4096,10680944,dec,10
4096,10387328,enc,11
4096,10387808,dec,11
4096,10513120,enc,12
4096,10513312,dec,12
4096,10343552,enc,13
4096,10343824,dec,13
4096,10343504,enc,14
4096,10343888,dec,14
4096,10045264,enc,15
4096,10045728,dec,15
4096,10299824,enc,16
4096,10299888,dec,16
4096,10172784,enc,17
4096,10173104,dec,17
4096,10513280,enc,18
4096,10513440,dec,18
4096,10472928,enc,19
4096,10473328,dec,19
4096,10387168,enc,20
4096,10387824,dec,20
4096,10680608,enc,21
4096,10680848,dec,21
4096,10343728,enc,22
4096,10344000,dec,22
4096,10002752,enc,23
4096,10003120,dec,23
4096,10473152,enc,24
4096,10473344,dec,24
4096,10214320,enc,25
4096,10214624,dec,25
4096,10513152,enc,26
4096,10513392,dec,26
4096,10299792,enc,27
4096,10299904,dec,27
4096,10387712,enc,28
4096,10387824,dec,28
4096,10387168,enc,29
4096,10387824,dec,29
4096,10472752,enc,30
4096,10472960,dec,30
4096,10094672,enc,31
4096,10094720,dec,31
4096,10563488,enc,32
4096,10563616,dec,32
4096,10045216,enc,33
4096,10045552,dec,33
4096,10387456,enc,34
